Table 7. By HOUSING TENURE, TYPE OF AREA, RACE OF REFERENCE PERSON, AND HISPANIC ORIGIN OF REFERENCE PERSON:  Average annual
expenditures and characteristics, Consumer Expenditure Survey, 1995

                                             All          Housing ten         Type of a        Race of         Hispanic origin
                   Item                   consumer                                            reference person
                                            units  Homeowner Renter    Urban    Rural  White and  Black  Hispanic     Non-
                                                                                         other                      Hispanic
                                          ___________________________________________________________________________________
Number of consumer units (in thousands)... 103,123   66,053   37,070   88,629   14,495   91,447   11,676     8,000    95,123
Income before taxes 1/.................... $36,918  $44,365  $23,773  $38,001  $29,975  $38,256  $25,781   $27,203   $37,791
    Males 2 and over......................      70       82       47       74       43       73       49        41        72
    Females 2 and over....................      94      110       64      103       39       96       73        86        94
    Children under 2......................      40       46       28       41       32       40       39        76        36
    Other apparel products and services...      55       59       50       62       17       54       60        42        56
      Jewelry and watches.................      27       30       20       30        7       29        6         8        28
      All other apparel products and serv.      29       28       30       32       11       25       54        34        28
  Transportation..........................      48       60       26       48       50       52       18        23        50
  Health care.............................      22       26       16       19       40       24       11         3        24
  Entertainment...........................      86      102       58       89       68       94       29        37        91
    Toys, games, hobbies, and tricycles...      29       36       18       30       25       31       13        22        30
    Other entertainment...................      57       66       40       60       42       62       17        15        61
  Education...............................     120      175       23      125       89      129       52        15       129
  All other gifts.........................     114      131       84      117       97      119       73        52       119
__________________________________________
1/ Components of income and taxes are derived from "complete income reporters" only; see glossary

Note that all values have been rounded, and therefore some rounded values equal zero.
When data are not reported or are not applicable (i.e., missing values), values are set to zero.
Note also that some data are likely to have large sampling errors.
